index,pcode,mfg,racquet,headsize,length,weight,balance,swingweight,flex,acor,sweet,rccode,current,twistweight,hittingweight,vibration,filter,distance,spin,angle,shotspeed,swingspeed,plow,time
0,VS5,Volkl,V-Sense 5,100,27.0,276,33.5,281,70,0.255,10.3,RCVOLKL,x,12.5,114,164,21/2-effort,68.5,1596,3.6,64.5,51.4,37,0.89
1,U100UL,Wilson,Ultra 100UL,100,27.0,270,34.0,283,68,0.26,10.8,RCWILSON,x,13.0,116,164,21/2-effort,68.5,1595,3.6,64.8,51.3,38,0.88
2,BULS1H,Wilson,Burn 100 ULS (2017),100,27.0,281,34.1,288,67,0.273,11.5,RCWILSON,x,14.0,119,158,21/2-effort,68.2,1579,3.4,65.2,51.0,39,0.87
3,YEZLLG,Yonex,Ezone Lite,100,27.0,282,33.3,292,64,0.272,12.1,RCYONEX,x,13.2,119,156,21/2-effort,68.1,1579,3.4,65.2,51.0,39,0.87
4,TPS270,Tecnifibre,T-Flash PS 270,100,27.0,285,34.1,293,69,0.271,12.0,RCTFUSA,x,12.9,119,160,21/2-effort,67.8,1570,3.5,64.9,50.7,39,0.87
5,BTEAM,Wilson,Burn 100 Team (2017),100,27.0,286,34.0,293,63,0.274,12.0,RCWILSON,x,13.3,120,147,21/2-effort,67.8,1570,3.4,65.1,50.7,39,0.87
6,FX500L,Dunlop,FX 500 Lite,100,27.0,282,34.0,293,70,0.278,12.8,RCDUNLOP,x,13.9,121,168,21/2-effort,68.0,1572,3.4,65.4,50.8,39,0.87
7,L31518,Tecnifibre,TFight DC 315 Ltd. (18x20),98,27.0,329,32.2,298,62,0.274,12.2,TFUSA,x,12.8,120,138,21/2-effort,67.1,1547,3.5,64.5,50.2,39,0.87
8,VF5,Volkl,V-Feel 5,100,27.0,278,34.0,296,69,0.275,12.8,RCVOLKL,x,13.0,120,167,21/2-effort,67.9,1572,3.4,65.2,50.8,39,0.87
10,PDL,Babolat,Pure Drive Lite,100,27.0,286,34.2,295,69,0.277,12.7,RCBAB,x,13.4,121,164,21/2-effort,67.8,1566,3.4,65.1,50.7,39,0.87
11,P97LSB,Wilson,Pro Staff 97 LS Black (2016),97,27.0,304,33.0,298,68,0.277,12.8,RCWILSON,x,13.1,121,157,21/2-effort,67.5,1558,3.4,64.9,50.5,39,0.87
12,VS8285,Volkl,V-Sense 8 285g,100,27.0,296,33.4,300,71,0.279,13.0,RCVOLKL,x,13.1,121,164,21/2-effort,67.5,1558,3.4,65.1,50.5,39,0.86
13,WRC1LS,Wilson,Clash 100L Silver,100,27.0,292,32.5,300,54,0.281,13.7,RCWILSON,x,13.4,122,120,21/2-effort,67.9,1567,3.3,65.5,50.7,40,0.87
14,HGTIS,Head,Graphene Touch Instinct S,100,27.0,300,32.6,294,64,0.282,12.6,RCHEAD,x,14.4,122,143,21/2-effort,67.9,1569,3.3,65.6,50.7,40,0.86
15,U100L3,Wilson,Ultra 100L v3,100,27.0,295,33.0,296,68,0.284,13.3,RCWILSON,x,14.4,123,163,21/2-effort,67.9,1567,3.3,65.6,50.7,40,0.86
16,AST100,Yonex,Astrel 100,100,27.0,295,33.0,297,68,0.287,13.3,RCYONEX,x,14.7,124,145,21/2-effort,67.8,1565,3.2,65.8,50.6,40,0.86
17,RCZ98D,Dunlop,Srixon Revo CZ 98D,98,27.0,301,32.5,296,69,0.285,13.6,RCDUNLOP,x,14.5,123,164,21/2-effort,67.8,1566,3.3,65.7,50.7,40,0.86
19,BRPD11,Babolat,Pure Drive 110 2021,110,27.6,269,34.0,298,70,0.284,13.3,RCBABOLAT,x,14.3,123,154,21/2-effort,68.2,1576,3.3,65.9,50.9,40,0.86
20,HGTEL,Head,Graphene Touch Extreme Lite,100,27.0,274,34.8,299,60,0.283,13.1,RCHEAD,x,13.8,123,136,21/2-effort,67.8,1565,3.3,65.5,50.6,40,0.86
23,BRPDL,Babolat,Pure Drive Lite 2021,100,27.0,283,34.0,299,69,0.286,13.5,RCBABOLAT,x,14.2,123,160,21/2-effort,67.8,1564,3.3,65.7,50.6,40,0.86
24,HGSLR,Head,Graphene 360 Speed Lite,100,27.0,281,34.8,300,68,0.285,13.5,RCHEAD,x,13.8,123,156,21/2-effort,67.6,1559,3.3,65.5,50.5,40,0.86
25,VVC8UL,Volkl,V-Cell 8 (285g),100,27.0,298,33.0,303,70,0.283,13.6,RCVOLKL,x,13.2,123,162,21/2-effort,67.5,1556,3.3,65.3,50.4,40,0.86
26,HMGRAD,Head,MicroGEL Radical MP,98,27.0,309,33.5,304,57,0.282,12.4,RCHEAD,x,12.6,121,129,21/2-effort,67.1,1543,3.3,64.9,50.1,39,0.86
27,L31516,Tecnifibre,TFight DC 315 Ltd. (16x19),98,27.0,329,31.8,305,62,0.284,13.5,TFUSA,x,13.0,123,141,21/2-effort,67.0,1542,3.3,65.0,50.1,40,0.86
28,VVCEL6,Volkl,V-Cell 6,100,27.0,289,33.8,303,69,0.285,13.6,RCVOLKL,x,13.4,123,164,21/2-effort,67.5,1556,3.3,65.4,50.4,40,0.86
29,U100LV,Wilson,Ultra 100L v2,100,27.0,292,33.5,302,68,0.286,13.7,RCWILSON,x,13.7,123,155,21/2-effort,67.6,1558,3.3,65.5,50.5,40,0.86
